Manuf_Year,Brand,Model,Variant,Driver_KM,Fuel,Transmission,Location,Price
2012,Maruti,SX4 ,Vxi BSIV,65000.00,Petrol,Manual,New Delhi,299000
2011,Maruti,Wagon R,CNG LXI BSIV,62000.00,CNG,Manual,New Delhi,231000
2019,Maruti,Baleno ,Alpha,34000.00,Petrol,Manual,New Delhi,711000
2013,Hyundai,Grand i10,Era,44000.00,Petrol,Manual,New Delhi,325000
2014,Maruti,Swift Dzire,VXI,52000.00,Petrol,Manual,New Delhi,361000
2015,Honda,City ,i VTEC VX,55000.00,Petrol,Manual,New Delhi,621000
2013,Toyota,Fortuner ,4x2 AT,92000.00,Diesel,Automatic,New Delhi,1250000
2010,Maruti,Wagon R,LXI BS IV,65000.00,Petrol,Manual,New Delhi,141000
2012,Maruti,Wagon R,CNG LXI Opt BSIV,65000.00,CNG,Manual,New Delhi,261000
2013,Maruti,Swift Dzire,LDI,32896.00,Diesel,Manual,New Delhi,375000
2018,Hyundai,Creta ,1.6 VTVT AT SX Plus,38000.00,Petrol,Automatic,New Delhi,975000
2015,Ford,Ecosport ,1.5 Diesel Trend,61000.00,Diesel,Manual,New Delhi,500000
2013,Mini,Cooper ,S,35000.00,Petrol,Automatic,New Delhi,2050000
2020,Land,Rover Range,2.0 R-Dynamic SE diesel 2020-2021,13250.00,Diesel,Automatic,New Delhi,6500000
2021,Tata,Tiago ,XT,6000.00,Petrol,Manual,New Delhi,550000
2015,Hyundai,Creta ,1.6 CRDi SX Option,65000.00,Diesel,Manual,New Delhi,810000
2017,Hyundai,Creta ,1.6 VTVT AT SX Plus,35000.00,Petrol,Automatic,New Delhi,1095000
2010,Hyundai,i10 ,Magna,68000.00,Petrol,Manual,New Delhi,145000
2014,BMW,3 Series,320d GT Luxury Line,60000.00,Diesel,Automatic,New Delhi,2100000
2015,Honda,Brio ,S MT,86033.00,Petrol,Manual,New Delhi,375000
2018,Mahindra,Scorpio ,S7,62000.00,Diesel,Manual,New Delhi,1221000
2013,Hyundai,Verna ,1.6 CRDi SX,69281.00,Diesel,Manual,New Delhi,395000
2011,Hyundai,i20 ,1.2 Magna,68000.00,Petrol,Manual,New Delhi,262000
2013,Maruti,Swift Dzire,VDI,56000.00,Diesel,Manual,New Delhi,365000
2017,Maruti,Swift Dzire,ZXI,55000.00,Petrol,Manual,New Delhi,585000
2020,Hyundai,Venue ,SX Turbo,19000.00,Petrol,Manual,New Delhi,945000
2017,Maruti,Baleno ,1.2 Zeta,39000.00,Petrol,Manual,New Delhi,565000
2015,Maruti,Ertiga ,VDI,74000.00,Diesel,Manual,New Delhi,525000
2021,MG,Hector ,Sharp DCT,5600.00,Petrol,Automatic,New Delhi,1950000
2019,Hyundai,Venue ,SX Opt iMT,19000.00,Petrol,Manual,New Delhi,1015000
2018,Hyundai,Creta ,1.6 SX Option Executive,37000.00,Petrol,Manual,New Delhi,1225000
2017,BMW,X1 ,sDrive20d Expedition,20000.00,Diesel,Automatic,New Delhi,2200000
2014,BMW,3 Series,320d GT Luxury Line,60000.00,Diesel,Automatic,New Delhi,2100000
2012,Hyundai,Verna ,1.6 VTVT,71000.00,Petrol,Manual,New Delhi,410000
2017,Hyundai,Creta ,1.6 VTVT AT SX Plus,30000.00,Petrol,Automatic,New Delhi,1090000
2014,Toyota,Corolla Altis,1.8 JS,82000.00,Petrol,Manual,New Delhi,675000
